Palette at 400000_400010:
Idx | R | G | B
00  |   0 |   0 |   0
01  | 247 | 247 |   0
02  | 247 | 247 | 247
03  | 247 | 197 |   0
04  | 247 | 247 |   0
05  |   0 | 115 | 247
06  | 247 | 247 |   0
07  | 247 | 247 | 247
08  |   0 | 132 | 247
09  |   0 | 197 | 247
10  | 247 | 247 | 247
11  | 247 | 247 |   0
12  |   0 |   0 | 132
13  | 247 | 247 | 247
14  |   0 |   0 |   0
15  | 247 | 247 | 247

Palette at 400020_400030:
Idx | R | G | B
00  |   0 |   0 |  16
01  | 247 | 247 | 247
02  | 247 | 247 | 247
03  | 247 | 247 | 247
04  | 247 | 247 | 247
05  | 247 | 247 | 247
06  | 247 | 247 | 247
07  | 247 | 247 | 247
08  | 247 | 247 | 247
09  | 247 | 247 | 247
10  | 247 | 247 | 247
11  | 247 | 247 | 247
12  | 247 | 247 | 247
13  | 247 | 247 | 247
14  | 247 | 247 | 247
15  | 247 | 247 | 247

Palette at 400040_400050:
Idx | R | G | B
00  |   0 |   0 |  33
01  | 247 | 230 |  16
02  |   0 |   0 |   0
03  | 247 | 247 | 247
04  | 247 | 247 |   0
05  | 247 | 247 | 247
06  |   0 |   0 |   0
07  | 247 | 115 |   0
08  | 247 | 165 |   0
09  | 247 | 214 |   0
10  | 247 | 247 |  66
11  |  16 |  16 |   0
12  |  66 |   0 |   0
13  | 115 |   0 |   0
14  | 181 |   0 |   0
15  | 247 |   0 |   0

Palette at 400060_400070:
Idx | R | G | B
00  |   0 |   0 |  49
01  | 165 |   0 |   0
02  | 247 |   0 |   0
03  |   0 | 132 | 230
04  |   0 | 214 | 247
05  | 214 | 148 |   0
06  | 247 | 214 |   0
07  |   0 |   0 |   0
08  |   0 |   0 |   0
09  |   0 |   0 |   0
10  |   0 |   0 |   0
11  |  82 |  82 |  82
12  | 148 | 148 | 148
13  | 214 | 214 | 214
14  | 247 | 247 | 247
15  |   0 |   0 |   0

Palette at 400080_400090:
Idx | R | G | B
00  |   0 |   0 |  66
01  | 181 |   0 |   0
02  | 214 |   0 |   0
03  | 247 |   0 |   0
04  | 247 |  82 |   0
05  | 247 | 132 |   0
06  |  33 |  33 |  49
07  |  66 |  82 |  99
08  |  82 | 132 | 148
09  | 132 | 181 | 165
10  | 181 | 230 | 214
11  |  99 |  49 |   0
12  | 148 |  66 |   0
